Filename,Hash,GUID
"Microsoft-windows_office.exe","196e55866421254d43f64d925f9f31e277f26e068383264e9597f3e3b931ba68","59876e11-cd7b-45c9-bc29-fec373646ce9"
"_475eb0ae9b3841248dd4ce6057946e55","9c3a853cb17168c117a77ea85bb2b6ff22068fdb788e51cc0c63daa88443876c","da4d5055-3052-4262-a0eb-016a3d2c6d70"
"Process_Scan.exe","45e17d022fb75992c9cec57b882a4079eda65707d4a293f0fc13f5b2699e1e91","5d9e2bad-4f98-402a-b951-a271c15de73f"
