"AssemblyCompany","AssemblyTitle","Guid","TargetFramework"
"Adobe Inc.","Adobe Creative Cloud","75CC4FE9-2C64-4F5C-BF8F-A668E6E623C4",".NETFramework,Version=v4.0"
"Mozilla","Thunderbird","-",".NETFramework,Version=v4.0"
